Subnum,Task,Condition,Gender,Ethnicity,Race,Age,image_name,naturalness,disorderliness,aesthetic,Order,BestOption,HighFreqOption,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban11,3.0,4.0,3.0,IGT_SGT,0,0,0.179728753,0.363615974,0.059848828,0.138072603,0.087298364,0.301798832,7.496319823,1.642094968,-0.078790498,0.01908966,0.093532,0.007018506,0.054990347,0.102197963,0.100547655
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS48,2.0,3.0,3.0,IGT_SGT,0,0,0.369023544,1.473649433,0.23004479,0.247453221,0.141387733,0.259854758,7.586297911,1.613471319,-0.062180378,0.107618619,0.005282936,0.010468687,0.048342387,0.092552821,0.126256704
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban13,2.0,3.0,3.0,IGT_SGT,0,0,0.135373617,0.466583647,0.081663509,0.240214891,0.190498845,0.280565311,6.995275775,1.722245586,-0.077219412,-0.024628892,0.140130083,0.008225709,0.055241198,0.137296461,0.134518912
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban12,2.0,3.0,3.0,IGT_SGT,0,0,0.158329652,0.079018845,0.060685432,0.187602482,0.12023283,0.258171667,7.705495271,1.588644921,-0.067009056,0.008628861,0.073718017,-0.037508606,0.047277473,0.118901781,0.1283683
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS100,2.0,4.0,3.0,IGT_SGT,0,0,0.212140022,-0.452839679,0.31915922,0.132711778,0.272404969,0.291171194,7.44062756,2.12965793,-0.057523911,-0.057121969,0.02492929,-0.029133884,0.030216217,0.112252553,0.159124772
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS197,2.0,4.0,4.0,IGT_SGT,0,0,0.291399269,-0.130912685,0.175733302,0.175015536,0.185449171,0.310741249,7.621536275,1.920423981,-0.082884575,0.080787332,-0.015866556,0.007346212,0.029610952,0.096388499,0.133685827
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban23,1.0,3.0,3.0,IGT_SGT,0,0,0.167833781,0.215318802,0.048502284,0.268421145,0.122764227,0.281208026,6.732345426,1.209615385,-0.057639719,-0.041587117,0.152558741,-0.003547533,0.054466418,0.086589633,0.085558515
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban27,2.0,5.0,4.0,IGT_SGT,0,0,0.173323709,0.222883945,0.080406328,0.342194089,0.169917001,0.281259896,7.422415401,1.65051714,-0.061339994,-0.048860612,0.083385589,-0.065078651,0.085,0.084955556,0.088359259
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban49,1.0,4.0,4.0,IGT_SGT,0,0,0.217909863,0.749780186,0.085003553,0.125940532,0.093984391,0.306467717,6.828396997,1.26093452,-0.061486865,-0.04490909,0.017984685,-0.027397659,0.099192593,0.0831,0.076362963
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban25,3.0,3.0,5.0,IGT_SGT,0,0,0.181418447,-2.048357712,0.081567487,0.274109934,0.1252519,0.255552453,7.480416031,2.051545308,-0.046561801,-0.054136905,-0.00341922,-0.032273212,0.055474881,0.118727539,0.097059222
